pathogen,n_eval,precision_fulltext_direct,recall_fulltext_direct,f1_fulltext_direct,precision_perg_conditioned,recall_perg_conditioned,f1_perg_conditioned,precision_ai4epi_abstract_conditioned,recall_ai4epi_abstract_conditioned,f1_ai4epi_abstract_conditioned
Marburg,799,0.6437908496732027,0.8180272108843537,0.694720754667264,0.7745767534499929,0.8282312925170068,0.7988769483977152,0.7455300127713921,0.7615646258503401,0.7532783004302448
Ebola,4129,0.6670854800884262,0.927787306638746,0.7202149779337674,0.8621321066696752,0.9716941166745883,0.9085080919129171,0.731410383161965,0.8385851133934454,0.7726227019702161
Lassa,668,0.7128000545553737,0.9115261613530712,0.7674904281239123,0.8324931085007574,0.9414130757311002,0.8772752967778406,0.7859543010752688,0.7805710329365996,0.7832305733756022
SARS,2047,0.6356228113889716,0.9050301650085901,0.6767105022038329,0.7959536555820406,0.9538984777657917,0.8552572654206048,0.7087707922521658,0.8521490071517039,0.7578499870614765
Zika,2072,0.6447656566371402,0.8491289396831818,0.6740774218990586,0.8054491734871769,0.9136619931983969,0.8488557843206146,0.6564420122887864,0.7884107257993147,0.6917415456242028
MERS,5729,0.6925645871617216,0.9484890444556338,0.7640673449612403,0.828065024113382,0.9601917423294947,0.8823031620100632,0.7578971037956468,0.8298851928251607,0.7891444392468995
Nipah,736,0.7404638356454516,0.8810027182120206,0.7908172493088391,0.8919469259064634,0.90048323769254,0.8961616664591892,0.8656609195402298,0.8416222020873183,0.8531664454795423
Overall,16180,0.6767276107357553,0.8915702208907995,0.7268712398711307,0.8272309639584984,0.9242248479869882,0.8667483164712779,0.7502379321264935,0.8132554142919834,0.771576284741169
